20190626-12:00:00   0.808200 25.06
20190627-12:00:00   0.783100 23.83
20190628-12:00:00   0.755200 24.28
20190629-12:00:00   0.728300 25.33
20190630-12:00:00   0.707800 24.09
20190701-12:00:00   0.693800 24.76
20190702-12:00:00   0.657800 25.29
20190703-12:00:00   0.640400 25.66
20190704-12:00:00   0.615900 25.51
20190705-12:00:00   0.608300 25.06
20190706-12:00:00   0.585900 25.62
20190707-12:00:00   0.576600 25.44
20190708-12:00:00   0.557400 25.44
20190709-12:00:00   0.723500 23.26
20190710-12:00:00   0.583500 24.01
20190711-12:00:00   0.577400 24.84
20190712-12:00:00   0.561500 25.29
20190713-12:00:00   0.559100 25.55
20190714-12:00:00   0.662100 23.41
20190715-12:00:00   0.587500 24.35
20190716-12:00:00   0.571200 24.8
20190717-12:00:00   0.592200 23.9
20190718-12:00:00   0.569000 24.09
20190719-12:00:00   0.554200 24.76
20190720-12:00:00   0.548700 25.47
20190721-12:00:00   0.541400 24.65
20190722-12:00:00   0.529600 25.14
20190723-12:00:00   0.504300 26.3
20190724-12:00:00   0.500300 25.25
20190725-12:00:00   0.523700 25.55
20190726-12:00:00   0.497200 25.7
20190727-12:00:00   0.863000 21.39
20190728-12:00:00   0.645000 21.88
20190729-12:00:00   0.630500 23.82
20190730-12:00:00   0.622400 24.72
20190731-12:00:00   0.620700 23.07
20190801-12:00:00   0.619700 23.94
20190802-12:00:00   0.615400 25.1
20190803-12:00:00   0.600900 25.62
20190804-12:00:00   0.591600 25.81
20190805-12:00:00   0.577500 25.74
20190806-12:00:00   0.551300 25.1
20190807-12:00:00   0.542600 25.1
20190808-12:00:00   0.521100 25.78
20190809-12:00:00   0.505800 26.34
20190810-12:00:00   0.493500 25.7
20190811-12:00:00   0.473400 25.7
20190812-12:00:00   0.456200 23.6
20190813-12:00:00   0.436900 22.66
20190814-12:00:00   0.416000 23.34
20190815-12:00:00   0.412000 24.01
20190816-12:00:00   0.404500 23.64
20190817-12:00:00   0.380800 24.54
20190818-12:00:00   0.379100 25.25
20190819-12:00:00   0.366400 23.86
20190820-12:00:00   0.349600 23.56
20190821-12:00:00   0.344700 23.19
20190822-12:00:00   0.330200 24.54
20190823-12:00:00   0.330900 23.86
20190824-12:00:00   0.321000 24.42
20190825-12:00:00   0.308100 24.84
20190826-12:00:00   0.297400 24.99
20190827-12:00:00   0.308200 22.36
20190828-12:00:00   0.293100 23.71
20190829-12:00:00   0.303300 24.84
20190830-12:00:00   0.290700 25.89
20190831-12:00:00   0.292900 24.76
20190901-12:00:00   0.368600 23.79
20190902-12:00:00   0.308800 22.03
20190903-12:00:00   0.314800 23.53
20190904-12:00:00   0.308300 23.45
20190905-12:00:00   0.338500 21.5
20190906-12:00:00   0.332500 21.01
20190907-12:00:00   0.329900 21.28
20190908-12:00:00   0.343900 21.61
20190909-12:00:00   0.581700 21.99
20190910-12:00:00   0.512600 17.07
20190911-12:00:00   0.482600 20.45
20190912-12:00:00   0.580900 22.74
20190913-12:00:00   0.835600 23.08
20190914-12:00:00   0.878400 22.25
20190915-12:00:00   0.937600 22.74
20190916-12:00:00   0.995100 22.14
20190917-12:00:00   1.128000 22.89
20190918-12:00:00   1.112000 22.66
20190919-12:00:00   1.119000 22.32
20190920-12:00:00   1.134000 21.58
20190921-12:00:00   1.443000 19.89
20190922-12:00:00   1.365000 21.01
20190923-12:00:00   1.345000 20.9
20190924-12:00:00   1.351000 21.5
20190925-12:00:00   1.355000 21.39
20190926-12:00:00   1.351000 21.5
20190927-12:00:00   1.356000 22.36
20190928-12:00:00   1.356000 21.57
20190929-12:00:00   1.356000 21.72
20190930-12:00:00   1.340000 21.8
20191001-12:00:00   1.302000 21.8
20191002-12:00:00   1.262000 21.12
20191003-12:00:00   1.231000 20.49
20191004-12:00:00   1.196000 20.75
20191005-12:00:00   1.150000 20.75
20191006-12:00:00   1.122000 20.19
20191007-12:00:00   1.079000 20.22
20191008-12:00:00   1.042000 20.38
20191009-12:00:00   0.997200 20.67
20191010-12:00:00   0.954800 19.59
20191011-12:00:00   0.924800 20.79
20191012-12:00:00   0.920300 21.91
20191013-12:00:00   0.882400 21.95
20191014-12:00:00   1.012000 21.2
20191015-12:00:00   0.852200 18.54
20191016-12:00:00   0.816700 18.58
20191017-12:00:00   0.784000 19.47
20191018-12:00:00   0.740100 19.25
20191019-12:00:00   0.719000 20.9
20191020-12:00:00   0.678500 21.72
20191021-12:00:00   0.787300 17.56
20191022-12:00:00  15.500000 17.79
20191023-12:00:00  17.860000 18.35
20191024-12:00:00   3.232000 18.12
20191025-12:00:00   3.648000 17.94
20191026-12:00:00   3.978000 18.8
20191027-12:00:00   4.140000 18.88
20191028-12:00:00   4.201000 17.86
20191029-12:00:00   4.122000 18.28
20191030-12:00:00   3.998000 19.25
20191031-12:00:00   3.815000 18.99
20191101-12:00:00   3.589000 17.86
20191102-12:00:00   3.365000 19.06
20191103-12:00:00   3.150000 17.79
20191104-12:00:00   2.923000 18.61
